"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SURF42",1.72184747269588e-10,0.571098494996837,0.274,0.156,3.76292546682958e-06,"9","SURF4"
"RPL122",2.1313066019161e-10,0.491850682737649,0.43,0.283,4.65775744782744e-06,"9","RPL12"
"PGK11",2.31008782274365e-10,0.561725897093379,0.318,0.19,5.04846592782397e-06,"9","PGK1"
"RPL63",2.83917121715887e-10,0.483976434783664,0.572,0.432,6.20472477797899e-06,"9","RPL6"
"UQCRH",3.02811945419792e-10,0.518055015925278,0.293,0.172,6.61765225520414e-06,"9","UQCRH"
"RPL36A2",4.87669944853919e-10,0.458251756954453,0.467,0.322,1.06575389748376e-05,"9","RPL36A"
"EIF4G2",7.65843525310307e-10,0.491591869262479,0.396,0.258,1.67367444021314e-05,"9","EIF4G2"
"CCNI",8.33995443970685e-10,0.555501740997876,0.445,0.309,1.82261364325354e-05,"9","CCNI"
"HNRNPC",1.06299319455962e-09,0.457926228435388,0.399,0.258,2.3230653273906e-05,"9","HNRNPC"
"TAGLN22",2.03010587441118e-09,0.50716004185101,0.467,0.318,4.43659337793819e-05,"9","TAGLN2"
"HNRNPA12",2.10410907789602e-09,0.46034577927396,0.34,0.213,4.59831997883396e-05,"9","HNRNPA1"
"RPL13AP72",2.85351837575747e-09,0.390205284746473,0.413,0.278,6.23607905838038e-05,"9","RPL13AP7"
"RPL52",2.91674365317841e-09,0.443222766011624,0.367,0.231,6.3742515796561e-05,"9","RPL5"
"CANX1",3.46470263189436e-09,0.412072286611847,0.399,0.258,7.57176113174193e-05,"9","CANX"
"RPL23A2",4.34991477799633e-09,0.458443556120375,0.54,0.395,9.50630375583317e-05,"9","RPL23A"
"RPL35A2",5.73665073796177e-09,0.436693468794285,0.381,0.25,0.000125368765227417,"9","RPL35A"
"TPI1",9.6623185275247e-09,0.421233251904932,0.423,0.283,0.000211160309100525,"9","TPI1"
"CD591",1.29021771623754e-08,0.503539305776412,0.55,0.408,0.000281964179706551,"9","CD59"
"AC243919.12",1.6535273886844e-08,0.534380651087024,0.511,0.368,0.000361361875523088,"9","AC243919.1"
"H3-3B1",2.30996886596406e-08,0.409433906182021,0.575,0.413,0.000504820595967787,"9","H3-3B"
